Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,popularity,avgScore,tags,Genres,Themes,Settings,Tone/Mood,Audience,Writing Style,Features,Time Period
"The Lion, The witch and the Wardrobe","C. S. Lewis was a British author, lay theologian, and contemporary of J.R.R. Tolkien. The Lion, the Witch, and the Wardrobe is the first book in The Chronicles of Narnia.",['C.S. Lewis'],http://books.google.com/books/content?id=YljRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=YljRDwAAQBAJ&pg=PP1&dq=The+Lion,+The+witch+and+the+Wardrobe&hl=&cd=1&source=gbs_api","Wyatt North Publishing, LLC",2018-04-10,"http://books.google.com/books?id=YljRDwAAQBAJ&dq=The+Lion,+The+witch+and+the+Wardrobe&hl=&source=gbs_api",['Fiction'],382,4.615183246073299,"Here are the tags that fit best for ""The Lion, The Witch and the Wardrobe"":

### Genres

- Fantasy
- Young Adult
- Children's

### Themes

- Good vs. Evil
- Friendship
- Redemption
- Courage
- Identity

### Settings

- Alternate Universe
- High Fantasy World
- Mythical Lands

### Tone/Mood

- Inspirational
- Uplifting
- Heartwarming

### Audience

- Children
- Young Adult
- All Ages

### Writing Style

- Third-Person Narrative

### Features

- Magic
- Quest
- Mythology

### Time Period

- Timeless","Fantasy, Young Adult, Children's","Good vs. Evil, Friendship, Redemption, Courage, Identity","Alternate Universe, High Fantasy World, Mythical Lands","Inspirational, Uplifting, Heartwarming","Children, Young Adult, All Ages",Third-Person Narrative,"Magic, Quest, Mythology",Timeless
Tale of Despereaux,"A brave mouse, a covetous rat, a wishful serving girl, and a princess named Pea come together in Kate DiCamillo's Newbery Medal–winning tale. Welcome to the story of Despereaux Tilling, a mouse who is in love with music, stories, and a princess named Pea. It is also the story of a rat called Roscuro, who lives in the darkness and covets a world filled with light. And it is the story of Miggery Sow, a slow-witted serving girl who harbors a simple, impossible wish. These three characters are about to embark on a journey that will lead them down into a horrible dungeon, up into a glittering castle, and, ultimately, into each other's lives. What happens then? As Kate DiCamillo would say: Reader, it is your destiny to find out. With black-and-white illustrations and a refreshed cover by Timothy Basil Ering.",['Kate DiCamillo'],http://books.google.com/books/content?id=rsi8h_NkCosC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rsi8h_NkCosC&printsec=frontcover&dq=Tale+of+Despereaux&hl=&cd=1&source=gbs_api,Candlewick Press,2009-09-08,https://play.google.com/store/books/details?id=rsi8h_NkCosC&source=gbs_api,['Juvenile Fiction'],373,4.316353887399464,"Here are the chosen tags:

### Genres

- Fantasy
- Children's

### Themes

- Friendship
- Love
- Courage
- Redemption
- Identity
- Good vs. Evil
- Forbidden Love
- Magic

### Settings

- Medieval
- High Fantasy World

### Tone/Mood

- Whimsical
- Uplifting
- Emotional
- Heartwarming
- Bittersweet

### Audience

- Children
- Middle Grade

### Writing Style

- Third-Person Narrative
- Descriptive
- Dialogue-Driven

### Features

- Magic
- Quest
- Supernatural Elements

### Time Period

- Timeless","Fantasy, Children's","Friendship, Love, Courage, Redemption, Identity, Good vs. Evil, Forbidden Love, Magic","Medieval, High Fantasy World","Whimsical, Uplifting, Emotional, Heartwarming, Bittersweet","Children, Middle Grade","Third-Person Narrative, Descriptive, Dialogue-Driven","Magic, Quest, Supernatural Elements",Timeless
Naked Lunch,"'I can feel the heat closing in, feel them out there making their moves' Nightmarish and fiercely funny, William Burroughs' virtuoso, taboo-breaking masterpiece Naked Lunch follows Bill Lee through Interzone: a surreal, orgiastic wasteland of drugs, depravity, political plots, paranoia, sadistic medical experiments and endless, gnawing addiction. One of the most shocking novels ever written, Naked Lunch is a cultural landmark, now in a restored edition incorporating Burroughs' notes on the text, alternate drafts and outtakes from the original. 'A masterpiece. A cry from hell, a brutal, terrifying, and savagely funny book that swings between uncontrolled hallucination and fierce, exact satire.' Newsweek 'Naked Lunch is a banquet you will never forget.' J. G. Ballard Edited by James Grauerholz and Barry Miles",['William S. Burroughs'],http://books.google.com/books/content?id=Dk7CoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Dk7CoQEACAAJ&dq=Naked+Lunch&hl=&cd=1&source=gbs_api,Penguin Classics,2015-01-29,http://books.google.nl/books?id=Dk7CoQEACAAJ&dq=Naked+Lunch&hl=&source=gbs_api,['Alienation (Social psychology)'],368,3.8668478260869565,"Here are the tags that fit best:

### Genres

- Experimental
- Literary Fiction
- Surrealism
- Experimental Fiction
- Beat Generation

### Themes

- Identity
- Madness
- Existentialism
- Rebellion
- Anti- Establishment
- Rebellion
- Madness
- Experimentation
- Taboo
- Sexuality
- Drug Use
- Paranoia

### Settings

- No specific setting (Experimental)

### Tone/Mood

- Dark
- Fierce
- Humorous
- Satirical
- Whimsical
- Unsettling

### Audience

- Adult

### Writing Style

- Experimental
- Stream of Consciousness
- Non-Linear
- Multiple Perspectives
- Descriptive
- Lyrical

### Features

- None (Experimental)

### Time Period

- Contemporary","Experimental, Literary Fiction, Surrealism, Experimental Fiction, Beat Generation","Identity, Madness, Existentialism, Rebellion, Anti- Establishment, Rebellion, Madness, Experimentation, Taboo, Sexuality, Drug Use, Paranoia",No specific setting (Experimental),"Dark, Fierce, Humorous, Satirical, Whimsical, Unsettling",Adult,"Experimental, Stream of Consciousness, Non-Linear, Multiple Perspectives, Descriptive, Lyrical",None (Experimental),Contemporary
Gap Creek: The Story Of A Marriage (Oprah's Book Club),"A New York Times Bestseller & Oprah's Book Club Pick Young Julie Harmon works “hard as a man,” they say, so hard that at times she’s not sure she can stop. People depend on her to slaughter the hogs and nurse the dying. People are weak, and there is so much to do. At just seventeen she marries and moves down into the valley of Gap Creek, where perhaps life will be better. But Julie and Hank’s new life in the valley, in the last years of the nineteenth century, is more complicated than the couple ever imagined. Sometimes it’s hard to tell what to fear most—the fires and floods or the flesh-and-blood grifters, drunks, and busybodies who insinuate themselves into their new life. To survive, they must find out whether love can keep chaos and madness at bay. Their struggles with nature, with work, with the changing century, and with the disappointments and triumphs of their union make Gap Creek a timeless story of a marriage.",['Robert Morgan'],http://books.google.com/books/content?id=MpDqIm6nAsAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=MpDqIm6nAsAC&printsec=frontcover&dq=Gap+Creek:+The+Story+Of+A+Marriage+(Oprah%27s+Book+Club)&hl=&cd=1&source=gbs_api,Algonquin Books,2012-08-21,http://books.google.com/books?id=MpDqIm6nAsAC&dq=Gap+Creek:+The+Story+Of+A+Marriage+(Oprah%27s+Book+Club)&hl=&source=gbs_api,['Fiction'],328,3.7378048780487805,"Here are the chosen tags:

### Genres

- Historical Fiction
- Romance

### Themes

- Marriage
- Love
- Survival
- Family
- Identity
- Power

### Settings

- Historical Era
- Rural

### Tone/Mood

- Emotional
- Uplifting
- Heartwarming

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Character-Driven

### Features

- None

### Time Period

- 19th Century","Historical Fiction, Romance","Marriage, Love, Survival, Family, Identity, Power","Historical Era, Rural","Emotional, Uplifting, Heartwarming",Adult,"Third-Person Narrative, Descriptive, Character-Driven",None,19th Century
Alice's adventures in Wonderland and Through the looking glass,"All the ""muchness"" of Wonderland captured in one book! Follow Alice down the rabbit hole to Wonderland and enjoy tea with the Mad Hatter, find your way with the Cheshire Cat, and play croquet with the Queen of Hearts. On the other side of the looking-glass, meet Tweedledee and Tweedledum, the White Queen, and a host of other characters that share a different reality.",['Lewis Carroll'],http://books.google.com/books/content?id=didZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=didZDwAAQBAJ&printsec=frontcover&dq=Alice%27s+adventures+in+Wonderland+and+Through+the+looking+glass&hl=&cd=1&source=gbs_api,Simon and Schuster,2016-04-01,https://play.google.com/store/books/details?id=didZDwAAQBAJ&source=gbs_api,['Fiction'],294,4.003401360544218,"Here are the chosen tags for ""Alice's Adventures in Wonderland and Through the Looking-Glass"":

### **Genres**

- Fantasy
- Science Fiction
- Children's
- Adventure

### **Themes**

- Coming of Age
- Friendship
- Love
- Magic
- Good vs. Evil
- Identity
- Courage
- Time Travel
- Forbidden Love

### **Settings**

- Wonderland
- Alternate Universe
- Mythical Lands
- Fantasy World

### **Tone/Mood**

- Whimsical
- Humorous
- Satirical
- Uplifting
- Dramatic
- Reflective

### **Audience**

- Children
- All Ages

### **Writing Style**

- Non-Linear
- Multiple Perspectives
- Descriptive
- Lyrical
- Fast-Paced

### **Features**

- Magic
- Time Travel
- Mystery Solving
- Quest
- Supernatural Elements

### **Time Period**

- Timeless",,,,,,,,
All the Pretty Horses,"All the Pretty Horses, the first novel of the Border Trilogy, published in 1992, was an international bestseller, winning both the National Book Award and the National Book Critics Circle Award. It tells the tale of John Grady Cole, who at sixteen finds himself the last bewildered survivor of generations of Texas ranchers, cut off from the only life he ever imagined. With two companions, he sets off for Mexico on a sometimes idyllic, sometimes comic journey to a place where dreams are paid for in blood. In 2012 Picador celebrated its 40th anniversary. During that time we have published many prize-winning and bestselling authors including Bret Easton Ellis and Cormac McCarthy, Alice Sebold and Helen Fielding, Graham Swift and Alan Hollinghurst. Years later, Picador continue to bring readers the very best contemporary fiction, non-fiction and poetry from across the globe. Discover more at picador.com/40",['Cormac McCarthy'],http://books.google.com/books/content?id=zWVi9HhxV9UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=zWVi9HhxV9UC&dq=All+the+Pretty+Horses&hl=&cd=1&source=gbs_api,Pan Macmillan,2012-02-02,http://books.google.com/books?id=zWVi9HhxV9UC&dq=All+the+Pretty+Horses&hl=&source=gbs_api,['Fiction'],271,4.07380073800738,"Here are the chosen tags for the book ""All the Pretty Horses"":

### Genres

* Western
* Historical Fiction
* Coming of Age

### Themes

* Coming of Age
* Friendship
* Identity
* Survival
* Good vs. Evil
* Betrayal
* Redemption

### Settings

* Historical Era
* Texas
* Mexico

### Tone/Mood

* Suspenseful
* Emotional
* Uplifting
* Gritty
* Melancholic

### Audience

* Adult
* Young Adult

### Writing Style

* Third-Person Narrative
* Stream of Consciousness
* Descriptive
* Plot-Driven","Western, Historical Fiction, Coming of Age","Coming of Age, Friendship, Identity, Survival, Good vs. Evil, Betrayal, Redemption","Historical Era, Texas, Mexico","Suspenseful, Emotional, Uplifting, Gritty, Melancholic","Adult, Young Adult","Third-Person Narrative, Stream of Consciousness, Descriptive, Plot-Driven",,
The Shadow Rising: Book Four of The Wheel of Time,"The Wheel of Time is now an original series on Prime Video, starring Rosamund Pike as Moiraine! In The Shadow Rising, the fourth novel in Robert Jordan’s #1 New York Times bestselling epic fantasy series, The Wheel of Time®, Rand al’Thor now wields the sword Callandor. He is both the Champion of Light and the Dragon Reborn. Now, he seeks answers to another prophecy that lies with the warrior people known as the Aiel to put him on the path of learning how to wield the One Power. Accompanied by Moiraine Damodred, Rand arrives at the Aiel Waste and is granted permission by the Wise Ones to enter the sacred city of Rhuidean. After passing through a doorframe ter'angreal, Moiraine gains foresight while the Aiel await Rand's return, either with both arms marked by dragon symbols, validating his identity as He Who Comes With the Dawn, the Chief of Chiefs of all the Aiel—or to never emerge at all. Since its debut in 1990, The Wheel of Time® has captivated millions of readers around the globe with its scope, originality, and compelling characters. The last six books in series were all instant #1 New York Times bestsellers, and The Eye of the World was named one of America's best-loved novels by PBS's The Great American Read. The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Robert Jordan'],http://books.google.com/books/content?id=EA1wODXZM_AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=EA1wODXZM_AC&printsec=frontcover&dq=The+Shadow+Rising:+Book+Four+of+The+Wheel+of+Time&hl=&cd=1&source=gbs_api,Tor Books,2010-01-19,https://play.google.com/store/books/details?id=EA1wODXZM_AC&source=gbs_api,['Fiction'],270,4.192592592592592,"Here are the tags that fit best for the book ""The Shadow Rising: Book Four of The Wheel of Time"":

**Genres**

- Fantasy
- Science Fiction
- Epic Fantasy

**Themes**

- Good vs. Evil
- Redemption
- Courage
- Identity
- Power
- Loss
- Time Travel

**Settings**

- High Fantasy World
- Medieval

**Tone/Mood**

- Suspenseful
- Emotional
- Inspirational
- Dark
- Uplifting

**Audience**

- Adult

**Writing Style**

- Third-Person Narrative
- Stream of Consciousness
- Descriptive
- Plot-Driven

**Features**

- Magic
- Superpowers
- Dragons
- Prophecy
- Quest
- Mystery Solving

**Time Period**

- Fantasy/Alternate Universe",,,,,,,,
"Slaughterhouse-five: Or, The children's crusade : a duty-dance with death","A special fiftieth anniversary edition of Kurt Vonnegut’s masterpiece, “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time), featuring a new introduction by Kevin Powers, author of the National Book Award finalist The Yellow Birds Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties. “Poignant and hilarious, threaded with compassion and, behind everything, the cataract of a thundering moral statement.”—The Boston Globe",['Kurt Vonnegut'],http://books.google.com/books/content?id=pWyLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=pWyLDQAAQBAJ&printsec=frontcover&dq=Slaughterhouse-five:+Or,+The+children%27s+crusade+:+a+duty-dance+with+death&hl=&cd=1&source=gbs_api",Dial Press Trade Paperback,1999-01-12,"http://books.google.com/books?id=pWyLDQAAQBAJ&dq=Slaughterhouse-five:+Or,+The+children%27s+crusade+:+a+duty-dance+with+death&hl=&source=gbs_api",['Fiction'],835,4.325748502994012,"Here are the tags that fit best for the book:

**Genres:** Fiction, Science Fiction, Historical Fiction, Novel

**Themes:** Coming of Age, Identity, War, Good vs. Evil, Survival, Revenge, Betrayal, Redemption, Courage, Power, Loss, Time Travel, Forbidden Love, Magic

**Settings:** Historical Era (World War II), Futuristic (time travel)

**Tone/Mood:** Dark, Humorous, Suspenseful, Emotional, Uplifting, Gritty, Melancholic, Inspirational, Reflective, Romantic

**Audience:** Adult

**Writing Style:** First-Person Narrative, Stream of Consciousness, Non-Linear, Multiple Perspectives

**Features:** Time Travel, War, Destruction, Alienation, Existentialism

**Time Period:** World War II, Contemporary (post-war)",,,,,,,,
House of Mirth,"A black comedy of manners about vast wealth and a woman who can define herself only through the perceptions of others. The beautiful Lily Bart lives among the nouveaux riches of New York City – people whose millions were made in railroads, shipping, land speculation and banking. In this morally and aesthetically bankrupt world, Lily, age twenty-nine, seeks a husband who can satisfy her cravings for endless admiration and all the trappings of wealth. But her quest comes to a scandalous end when she is accused of being the mistress of a wealthy man. Exiled from her familiar world of artificial conventions, Lily finds life impossible. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['Edith Wharton'],http://books.google.com/books/content?id=jNDyOUZOhyAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=jNDyOUZOhyAC&printsec=frontcover&dq=House+of+Mirth&hl=&cd=1&source=gbs_api,Penguin,1993-05-01,http://books.google.com/books?id=jNDyOUZOhyAC&dq=House+of+Mirth&hl=&source=gbs_api,['Fiction'],306,4.42483660130719,"Here are the tags that fit best:

### **Genres**

- Classic
- Historical Fiction
- Literary Fiction
- Social Commentary
- Satire
- Comedy

### **Themes**

- Social Class
- Identity
- Morality
- Love
- Power
- Wealth
- Appearance vs. Reality
- Social Status
- Reputation

### **Settings**

- New York City
- Late 19th Century
- High Society
- Wealthy Families

### **Tone/Mood**

- Satirical
- Witty
- Critical
- Observational
- Humorous
- Critical

### **Audience**

- Adult

### **Writing Style**

- Lyrical
- Descriptive
- Satirical
- Observational
- Dialogue-Driven
- Epistolary (in the sense that it's written in a style that critiques the societal norms and conventions of the time)",,,,,,,,
Autobiography of a Yogi,The life story of spiritualist Yogananda from his childhood in India to the thirty years he lived and taught in America.,['Yogananda (Paramahansa)'],,http://books.google.nl/books?id=lVx6QwAACAAJ&dq=Autobiography+of+a+Yogi&hl=&cd=1&source=gbs_api,Crystal Clarity Publishers,2010-01-30,http://books.google.nl/books?id=lVx6QwAACAAJ&dq=Autobiography+of+a+Yogi&hl=&source=gbs_api,['Yoga'],301,4.465116279069767,"Here are the tags that fit best:

### Genres

- Non-Fiction
- Biography
- Memoir

### Themes

- Self-Discovery
- Spirituality
- Personal Growth
- Cultural Exchange
- Travel

### Settings

- India
- America

### Tone/Mood

- Inspirational
- Uplifting
- Reflective
- Contemplative

### Audience

- Adult

### Writing Style

- First-Person Narrative
- Descriptive
- Lyrical","Non-Fiction, Biography, Memoir","Self-Discovery, Spirituality, Personal Growth, Cultural Exchange, Travel","India, America","Inspirational, Uplifting, Reflective, Contemplative",Adult,"First-Person Narrative, Descriptive, Lyrical",,
"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Meaning","Draws parallels between the fascism of the 1930s and the liberalism of the present, arguing that liberal politicians from Woodrow Wilson to Hillary Clinton have espoused policies and principles similar to those of Hitler's National Socialism.",['Jonah Goldberg'],http://books.google.com/books/content?id=71QP2lkN3LcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=71QP2lkN3LcC&printsec=frontcover&dq=Liberal+Fascism:+The+Secret+History+of+the+American+Left,+From+Mussolini+to+the+Politics+of+Meaning&hl=&cd=1&source=gbs_api",Crown Forum,2009-01-01,"http://books.google.com/books?id=71QP2lkN3LcC&dq=Liberal+Fascism:+The+Secret+History+of+the+American+Left,+From+Mussolini+to+the+Politics+of+Meaning&hl=&source=gbs_api",['History'],628,4.058917197452229,"Here are the chosen tags:

### Genres

- Non-Fiction
- History
- Politics

### Themes

- Power
- Control
- Ideology
- Critique
- Social Commentary

### Settings

- None

### Tone/Mood

- Serious
- Critical
- Analytical

### Audience

- Adult

### Writing Style

- Argumentative
- Analytical
- Informative

### Features

- Historical Analysis
- Political Analysis
- Critique of Political Ideologies

### Time Period

- 20th Century
- Contemporary","Non-Fiction, History, Politics","Power, Control, Ideology, Critique, Social Commentary",None,"Serious, Critical, Analytical",Adult,"Argumentative, Analytical, Informative","Historical Analysis, Political Analysis, Critique of Political Ideologies","20th Century, Contemporary"
The Call of the Wild (Dover Large Print Classics),"The adventures of an unusual dog, part St. Bernard, part Scotch shepherd, forcibly taken to the Klondike gold fields where he eventually becomes the leader of a wolf pack.",['Jack London'],http://books.google.com/books/content?id=4EMsarJQy90C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=4EMsarJQy90C&printsec=frontcover&dq=The+Call+of+the+Wild+(Dover+Large+Print+Classics)&hl=&cd=1&source=gbs_api,Courier Corporation,2001-05-01,http://books.google.com/books?id=4EMsarJQy90C&dq=The+Call+of+the+Wild+(Dover+Large+Print+Classics)&hl=&source=gbs_api,['Fiction'],455,4.325274725274725,"Here are the tags that fit best for the book ""The Call of the Wild"" by Jack London:

### Genres

- Adventure
- Fiction
- Classic

### Themes

- Survival
- Redemption
- Good vs. Evil
- Courage
- Identity

### Settings

- Historical Era
- Wilderness
- Gold Rush
- Klonkike Gold Fields

### Tone/Mood

- Suspenseful
- Emotional
- Inspirational
- Uplifting

### Audience

- Adult
- Young Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Plot-Driven","Adventure, Fiction, Classic","Survival, Redemption, Good vs. Evil, Courage, Identity","Historical Era, Wilderness, Gold Rush, Klonkike Gold Fields","Suspenseful, Emotional, Inspirational, Uplifting","Adult, Young Adult","Third-Person Narrative, Descriptive, Plot-Driven",,
The pursuit of God (Silver anniversary classics),"Considered one of the classics of the 20th century, The Pursuit of God is a book of intense spiritual power. No reader can come away from it without an increased awareness of God. A study guide is included to enable group discussion Copyright © Libri GmbH. All rights reserved.",['A. W. Tozer'],,http://books.google.com/books?id=3zZuPwAACAAJ&dq=The+pursuit+of+God+(Silver+anniversary+classics)&hl=&cd=1&source=gbs_api,Fleming H. Revell Company,1983-04-01,http://books.google.com/books?id=3zZuPwAACAAJ&dq=The+pursuit+of+God+(Silver+anniversary+classics)&hl=&source=gbs_api,None,405,4.6839506172839505,"Here are the tags that fit best for the book ""The Pursuit of God"" by A. W. Tozer:

### Genres

- Non-Fiction
- Christian

### Themes

- Faith
- Spirituality
- God
- Awareness
- Spiritual Growth
- Self-Discovery

### Tone/Mood

- Inspirational
- Uplifting
- Reflective
- Contemplative

### Audience

- Adult

### Writing Style

- Non-Linear
- Descriptive
- Lyrical

### Features

- Spiritual

### Time Period

- Timeless","Non-Fiction, Christian","Faith, Spirituality, God, Awareness, Spiritual Growth, Self-Discovery",,"Inspirational, Uplifting, Reflective, Contemplative",Adult,"Non-Linear, Descriptive, Lyrical",Spiritual,Timeless
